actor,appearances
"Robert De Niro",7
"Jodie Foster",1
"Albert Brooks",1
"Harvey Keitel",4
"Cybill Shepherd",3
"Peter Boyle",2
"Leonard Harris",1
"Diahnne Abbott",1
"Gino Ardito",1
"Martin Scorsese",5
"Murray Moston",1
"Richard Higgs",1
"Bill Minkin",1
"Bob Maroff",1
"Victor Argo",1
"Joe Spinell",1
"Robinson Frank Adu",1
"Brenda Dickson",1
"Norman Matlock",1
"Harry Northup",1
"Harlan Cary Poe",1
"Steven Prince",1
"Peter Savage",1
"Nicholas Shields",1
"Ralph S. Singleton",1
"Annie Gagen",1
"Carson Grant",2
"Mary-Pat Green",1
"Debbi Morgan",2
"Don Stroud",2
"Copper Cunningham",1
"Garth Avery",1
"Nat Grant",1
"Billie Perkins",4
"Catherine Scorsese",2
"Charles Scorsese",2
"Jon Voight",3
"Burt Reynolds",2
"Ned Beatty",1
"Ronny Cox",2
"Ed Ramey",1
"Billy Redden",2
"Seamon Glass",1
"Randall Deal",1
"Bill McKinney",2
"Herbert 'Cowboy' Coward",1
"Lewis Crone",1
"Ken Keener",1
"Johnny Popwell",1
"John Fowler",1
"Kathy Rickman",1
"Louise Coldren",1
"Pete Ware",1
"James Dickey",1
"Macon McCalman",1
"Hoyt Pollard",1
"Belinda Beatty",1
"Charley Boorman",1
"Graham Chapman",11
"John Cleese",15
"Eric Idle",15
"Terry Gilliam",13
"Terry Jones",15
"Michael Palin",15
"Connie Booth",1
"Carol Cleveland",6
"Neil Innes",3
"Bee Duffell",1
"John Young",2
"Rita Davies",1
"Avril Stewart",1
"Sally Kinghorn",1
"Mark Zycon",1
"Elspeth Cameron",1
"Mitsuko Forstater",1
"Sandy Johnson",1
"Sandy Rose",1
"Romilly Squire",1
"Joni Flynn",1
"Alison Walker",1
"Loraine Ward",1
"Anna Lanski",1
"Sally Coombe",1
"Vivienne MacDonald",1
"Yvonne Dick",1
"Daphne Darling",1
"Fiona Gordon",1
"Judy Lamb",1
"Tracy Sneddon",1
"Joyce Pollner",1
"Mary Allen",1
"Gloria Graham",1
"Sylvia Taylor",1
"Julian Doyle",1
"Margarita Doyle",1
"Zack Matalon",1
"Scott Mike",1
"William Palin",1
"Tom Raeburn",1
"Brian Ross",1
"Roy Forge Smith",1
"John Thornton",1
"Maggie Weston",1
"Lee Marvin",2
"Ernest Borgnine",2
"Charles Bronson",1
"Jim Brown",3
"John Cassavetes",1
"Richard Jaeckel",1
"George Kennedy",1
"Trini López",1
"Ralph Meeker",1
"Robert Ryan",2
"Telly Savalas",1
"Donald Sutherland",3
"Clint Walker",1
"Robert Webber",1
"Tom Busby",1
"Ben Carruthers",1
"Stuart Cooper",1
"Robert Phillips",1
"Colin Maitland",1
"Al Mancini",1
"George Roubicek",1
"Thick Wilson",1
"Dora Reisser",1
"Michael Anthony",1
"Leo Britt",1
"Alan Chuntz",1
"Gary Files",1
"Judith Furse",1
"Hal Galili",1
"Romo Gorrara",1
"Willoughby Gray",1
"Gerard Heinz",1
"John G. Heller",1
"George Hilsdon",1
"John Hollis",1
"Alf Joint",1
"Juba Kennerley",1
"Hildegard Knef",1
"Ann Lancaster",1
"Richard Marner",1
"Dick Miller",1
"Lionel Murton",1
"Suzanne Owens-Duval",1
"Mike Reid",2
"Terry Richards",1
"Frederick Schiller",1
"Richard Shaw",1
"Warren Stanhope",1
"Hedger Wallace",1
"Theodore Wilhelm",1
"Rocky Taylor",2
"Burnell Tucker",1
"Vicki Woolf",1
"Michael Segal",1
"Terence Bayler",1
"Kenneth Colley",1
"Charles McKeown",1
"Gwen Taylor",1
"Sue Jones-Davies",1
"Peter Brett",1
"John Case",1
"Chris Langham",1
"Andrew MacLachlan",1
"Bernard McKenna",1
"Spike Milligan",1
"George Harrison",2
"Clint Eastwood",3
"Harry Guardino",1
"Reni Santoni",1
"John Vernon",1
"Andrew Robinson",1
"John Larch",1
"John Mitchum",1
"Mae Mercer",1
"Lyn Edgington",1
"Ruth Kobart",1
"Woodrow Parfrey",1
"Josef Sommer",1
"William Paterson",1
"James Nolan",1
"Maurice Argent",1
"Jo De Winter",1
"Craig Kelly",2
"Albert Popwell",1
"Joy Carlin",2
"Bill Couch",1
"Diana Davidson",1
"Vince Deadrick Sr.",1
"Chuck Dorsett",1
"Al Dunlap",1
"Larry Duran",1
"George Fargo",1
"Lois Foraker",1
"Max Gail",2
"John Garber",1
"Christopher Pray",1
"Eddie Garrett",1
"James W. Gavin",1
"David Gilliam",1
"Don Haggerty",1
"Scott Hale",1
"Kate Harper",1
"Bob Harris",1
"Chuck Hicks",1
"Raymond Johnson",2
"Richard Lawson",1
"Laurie Mock",1
"Ann Noland",1
"Kathleen O'Malley",1
"Angela Paton",1
"Victor Paul",1
"Debralee Scott",2
"Don Siegel",1
"Kristoffer Tabori",1
"Tony Dario",1
"Marc Hertsens",1
"Gordon Chapli",1
"Janet Wisely",1
"Pamela Tanimura",1
"Richard Samuelson",1
"Derek Jue",1
"Sean Maley",1
"Diane Darnell",1
"Warren Beatty",1
"Faye Dunaway",2
"Michael J. Pollard",1
"Gene Hackman",5
"Estelle Parsons",1
"Denver Pyle",1
"Dub Taylor",1
"Evans Evans",1
"Gene Wilder",1
"Mabel Cavitt",1
"Patrick Cranshaw",2
"Owen Bush",1
"Clyde Howdy",1
"Russ Marker",1
"Ann Palmer",1
"Ken Mayer",1
"Brooke Shields",5
"Christopher Atkins",1
"Leo McKern",1
"William Daniels",2
"Jeffrey Kleiser",1
"Gus Mercurio",1
"Elva Josephson",1
"Glenn Kohan",1
"Bradley Pryce",1
"Chad Timmerman",1
"Gert Jacoby",1
"Alex Hamilton",1
"Richard Evanson",1
"Gregory Peck",1
"David Niven",1
"Anthony Quinn",2
"Stanley Baker",1
"Anthony Quayle",1
"James Darren",1
"Irene Papas",1
"Gia Scala",1
"James Robertson Justice",1
"Richard Harris",1
"Bryan Forbes",1
"Allan Cuthbertson",1
"Michael Trubshawe",1
"Percy Herbert",1
"George Mikell",1
"Walter Gotell",1
"Tutte Lemkow",1
"Albert Lieven",1
"Norman Wooland",1
"Kleo Skouloudi",1
"Nicholas Papakonstantinou",1
"Christopher Rhodes",1
"William Hoehne Jr.",1
"Burt Lancaster",1
"Woody Strode",2
"Jack Palance",1
"Claudia Cardinale",3
"Ralph Bellamy",1
"Joe De Santis",1
"Rafael Bertrand",1
"Jorge Martínez de Hoyos",1
"Marie Gomez",1
"José Chávez",1
"Carlos Romero",1
"Vaughn Taylor",1
"Elizabeth Campbell",1
"Don Carlos",1
"Leigh Chapman",1
"Roberto Contreras",1
"Dirk Evans",1
"Darwin Lamb",1
"Eddie Little Sky",1
"John Lopez",1
"John McKee",1
"Philip L. Parslow",1
"Ron Veto",1
"Richard Pryor",2
"Jennifer Lee Pryor",1
"Bing Crosby",1
"Danny Kaye",1
"Rosemary Clooney",1
Vera-Ellen,1
"Dean Jagger",1
"Mary Wickes",2
"John Brascia",1
"Anne Whitfield",1
"Bea Allen",1
"Frank Baker",1
"Glen Cargyle",1
"George Chakiris",2
"Barrie Chase",1
"Lorinne Crawford",1
"Franklyn Farnum",1
"Bess Flowers",1
"Gavin Gordon",1
"Johnny Grant",1
"Percy Helton",1
"I. Stanford Jolley",1
"Sig Ruman",1
"Grady Sutton",1
"Herb Vigran",1
"Robert Crosson",1
"Farid Shawqi",3
"Hind Rostom",1
"Youssef Chahine",2
"Hassan el Baroudi",1
"Abdel Aziz Khalil",1
"Said Khalil",1
"Abdel Ghani Nagdi",1
"Loutfi El Hakim",1
"Abdel Hamid Bodaoha",1
"F. El Demerdache",1
"Said El Araby",1
"Ahmed Abaza",1
"Hana Abdel Fattah",1
"Safia Sarwat",1
"Asaad Kellada",1
"Naima Wasfy",1
Sherine,2
Soheir,1
"Esmat Mahmoud",1
"Nawal Morsi",1
"Gharib Moawad",1
"Mohamed Mazhar",1
"Galal Issa",1
"Mahrous El Garhi",1
"Ahmed El Tantawi",1
"S. Abdel Aziz",1
"Nadia Lotfi",2
"Safia Tharwat",1
"Gert Westphal",1
"Jane Fonda",12
"Pamela Donegan",1
"Len Chandler",1
"Michael Alaimo",1
"Holly Near",1
"Paul Mooney",1
"Rita Martinson",1
"Steve Jaffe",1
"Mahmoud el-Meliguy",4
"Ezzat El Alaili",3
"Youssef Wahby",1
"Yehia Chahine",2
"Leila Fawzi",2
"Akela Kateb",1
"Zeinab Sedky",1
"Ahmad Abdel Waress",2
"Abdel Azziz Makhyoun",1
"Ahmed Mehrez",1
"Abdel Warith Assir",3
"Aida Kamel",1
"Oussaida Abbass",1
"Zouzou Hamdy El-Hakim",1
"Abdel Salam Mohamed",1
"Halima El Soghayar",1
"Samira Mohamed",1
"Abou Hachich",1
"Gamil El Traboulsi",1
"Ahmad Zaki",1
"Ahmad Bedir",3
"Naglaa Fathy",1
"Abdullah Mahmoud",1
"Mohsena Tawfik",1
"Seif Abdelrahman",2
"Hamdy Ahmed",1
"Tewfik El Dekn",3
"Ali El Sherif",2
"Salah El-Saadany",1
"Nagwa Ibrahim",1
"Fatma Omara‏",1
"Ashraf Al-Selehdar",1
