country_clean,total_titles,avg_rating
'US',1959,6.09
'GB',218,6.56
"'GB', 'US'",48,6.27
'EG',39,4.67
'DE',68,5.89
'IN',599,6.08
"'SU', 'IN'",1,6.2
"'LB', 'CA', 'FR'",1,6.1
Unknown,229,4.78
'LB',17,5.78
"'DZ', 'EG'",1,7.2
"'CA', 'FR', 'LB'",1,7.8
"'US', 'GB'",27,6.27
"'US', 'IT'",2,7.45
'JP',264,6.47
'AR',46,5.72
"'FR', 'EG'",4,6.5
"'FR', 'LB'",1,6.3
"'CA', 'US'",39,5.58
"'US', 'FR'",2,7
"'JP', 'US'",4,4.6
"'US', 'CA'",14,5.7
"'DE', 'US'",10,6.25
"'PE', 'US', 'BR'",1,4.8
"'IT', 'US', 'FR'",1,6.5
"'IE', 'GB', 'DE', 'FR'",1,7
"'HK', 'US'",1,4.8
'AU',62,6.42
'FR',125,6.07
"'DE', 'GH', 'GB', 'US', 'BF'",1,7
'MX',98,5.92
"'ES', 'AR'",3,6.6
'CO',44,5.5
"'PS', 'US', 'FR', 'DE'",1,6.9
"'FR', 'NO', 'LB', 'BE'",1,7.6
"'BE', 'FR', 'IT', 'LB'",1,6.9
'TR',83,6.14
"'IN', 'SU'",1,5.8
'DK',13,6.36
'CA',107,5.75
"'DE', 'GB', 'US', 'BS', 'CZ'",1,8
"'MT', 'GB', 'US'",1,7.3
"'AU', 'DE', 'GB', 'US'",1,7.6
"'US', 'JP'",3,5.7
"'BE', 'US'",1,7.6
'HK',22,5.19
'IT',56,5.77
"'US', 'FR', 'DE', 'GB'",1,6.4
"'GB', 'US', 'FR', 'DE'",1,6.4
"'IT', 'US'",2,6.25
"'US', 'ZA'",1,5.1
"'GB', 'ES'",1,3.9
"'GB', 'US', 'JP'",1,0
"'HK', 'CN'",4,6.6
"'GB', 'US', 'BG'",2,2.95
'RU',12,6.88
'KR',222,6.27
"'CA', 'US', 'IN'",1,5.1
'CN',59,6.42
"'JP', 'HK'",1,6.3
"'CA', 'GB', 'US'",5,6.14
"'FR', 'MX', 'ES'",1,7.4
"'IN', 'US'",4,7.3
"'AR', 'ES'",5,6.74
'CL',12,5.7
"'FR', 'MA', 'DE', 'PS'",1,6.6
"'AR', 'DE', 'UY', 'ES'",1,7.1
"'CL', 'AR'",1,6.2
"'CZ', 'GB', 'DK', 'NL', 'SE'",1,6.5
'TW',59,6.04
'SG',18,4.47
'NG',64,4.76
'MY',16,5.08
'Lebanon',1,6.4
"'BE', 'FR', 'ES', 'CH', 'PS'",1,6.8
'ZA',33,5.01
"'NG', 'US'",3,5.57
"'LB', 'FR'",2,6.55
"'CN', 'HK'",6,5.98
'PH',80,6.07
"'LB', 'GB', 'FR'",1,7
"'FR', 'DE', 'KW', 'PS'",1,6.2
'PS',7,5.37
"'GB', 'US', 'AT', 'FR', 'DE', 'NG'",1,6.4
'XX',23,5.59
"'AE', 'US'",1,6.8
"'DK', 'US'",3,7.07
"'FR', 'US', 'GB'",1,6.4
"'HU', 'US', 'CA'",1,7.9
'NO',13,6.26
"'GB', 'FR', 'DE'",1,6.8
"'US', 'HU', 'IT'",1,6
"'US', 'ZA', 'DE'",1,0
"'IN', 'DE'",1,7
'SA',11,4.01
'ID',61,5.63
"'US', 'LB', 'AE'",1,0
"'PS', 'NL', 'US', 'AE'",1,6.7
"'US', 'FR', 'GB'",1,7.2
"'US', 'DE', 'GB'",1,8.1
"'GB', 'ZA'",2,6.5
"'US', 'CA', 'CL'",1,5.3
"'US', 'GB', 'CN', 'CA'",1,5.5
"'AU', 'CH', 'GB'",1,7.1
'ES',161,6.05
'FI',4,6.8
'IL',11,7.34
"'FR', 'US'",6,6
"'AU', 'US'",7,6.47
"'CA', 'US', 'GB'",1,6.4
'AT',5,4.68
"'CD', 'GB'",1,8.2
"'US', 'BR'",2,7.75
"'CA', 'JP', 'US'",1,4.6
"'CA', 'KR'",1,5.7
"'US', 'EG', 'GB'",1,8.1
'BR',90,5.84
'PL',39,5.3
"'VE', 'AR'",1,7.3
'RO',4,5.73
"'IL', 'NO', 'ZA', 'AE', 'GB', 'IS', 'IE'",1,7.1
"'US', 'CN', 'DE', 'SG', 'UA'",1,7.6
"'DE', 'IT', 'PS', 'FR'",1,6.3
"'AE', 'LB'",2,6.8
"'LB', 'AE'",1,6.6
"'US', 'ES'",4,6.23
'NZ',8,6.71
"'GB', 'US', 'FR'",2,7.1
"'US', 'FR', 'LU', 'GB'",1,6.3
"'FR', 'BE'",5,6.2
"'IT', 'GB'",1,7.9
"'US', 'CA', 'GB'",2,6
"'CA', 'FR'",3,6.6
"'US', 'CN'",5,5.48
'UA',2,6.75
"'MX', 'ZA', 'US'",1,6.8
"'US', 'GB', 'ES'",2,6.1
"'BE', 'DK', 'DE', 'GB', 'US'",1,7.1
"'GB', 'IR', 'JO', 'QA'",1,6.8
"'CH', 'US'",1,6.1
"'CA', 'DE', 'GB'",1,7.2
"'GH', 'US'",1,7.7
"'IE', 'GB'",3,6.93
"'CN', 'US'",4,7.1
"'UA', 'GB', 'US'",1,8.3
"'IE', 'ZA'",1,7.2
"'US', 'FR', 'MT'",1,5.3
'BG',1,0
"'GB', 'FR'",2,6.85
'BY',1,6.7
'IE',4,7.23
'IS',4,5.27
"'AU', 'FR', 'DE'",1,7.1
"'CN', 'FR', 'CA'",1,5.4
"'FR', 'QA'",1,7.4
'SE',16,6.38
"'FR', 'ES'",1,5.9
'NL',17,5.33
'HR',1,7.4
"'FR', 'MA'",1,6.2
"'RU', 'US', 'FR'",1,6
"'SY', 'GB'",1,0
"'AT', 'US'",1,7.9
'CD',1,7.5
"'FR', 'CL'",1,5.8
"'AU', 'GB'",2,7.5
'TN',1,5.4
'AE',11,4.45
"'SE', 'NO'",1,6.6
"'GL', 'FR'",1,6.3
"'LB', 'DE'",1,6.3
"'PT', 'SE', 'DK', 'BR', 'FR'",1,7.2
"'QA', 'LB'",1,6.9
"'GB', 'AU', 'US'",1,5.2
"'ES', 'DK'",1,7.7
"'AE', 'FR', 'JO', 'LB', 'QA', 'PS'",1,7
"'US', 'CA', 'JP'",1,0
'PK',3,6.87
"'IN', 'GB'",2,5.65
"'PS', 'FR', 'DE'",1,0
'CZ',3,3.03
"'CA', 'NG'",1,5.1
'VN',3,3.5
"'NL', 'GB'",2,4.85
"'CA', 'HU', 'MX', 'ES', 'GB', 'US'",1,8
"'FR', 'GB', 'US'",1,7.7
"'FR', 'NL', 'GB', 'US'",1,7.8
"'CN', 'CA', 'US'",1,7.4
"'CA', 'GB'",4,6.82
"'KR', 'US'",2,6.2
"'FR', 'RO', 'GB', 'BE', 'DE'",1,6.8
"'US', 'MX'",3,6.9
"'HK', 'IS', 'US'",1,6.6
"'IN', 'CN', 'US', 'GB'",1,7
"'BE', 'FR'",10,5.61
"'PR', 'US', 'GB', 'CN'",1,5.5
"'GB', 'DE'",2,5.75
"'US', 'PR'",1,4.2
"'IT', 'CH', 'FR'",1,7.5
"'IT', 'ES', 'FR'",1,6.9
"'US', 'IS', 'NO'",1,6.8
"'IQ', 'GB'",1,6.3
'HU',1,7.5
"'US', 'AU', 'GB'",1,5.9
"'CZ', 'GB', 'US'",1,7
"'US', 'IE', 'CA'",1,6
'TH',32,5.49
"'IR', 'US', 'FR'",1,6.7
'BE',9,7.04
"'GB', 'ID', 'CA', 'CN', 'SG', 'US'",1,5.3
"'ES', 'FR'",5,6.54
"'SG', 'GB', 'US'",1,7.4
"'GE', 'DE', 'FR'",1,7.4
"'CA', 'US', 'DE'",1,4.3
"'CA', 'IE'",1,6.6
"'NL', 'BE'",2,6.7
"'US', 'KH'",1,7.2
"'FR', 'JP'",1,6.7
'PR',1,7.7
"'US', 'CA', 'CN'",2,5.9
"'CN', 'US', 'ES'",1,5.8
"'CU', 'US'",1,8.2
"'BG', 'US'",3,5.9
"'US', 'BG'",2,4.4
"'US', 'DK', 'GB'",1,7.6
"'ES', 'IT'",1,5.2
"'TR', 'US'",1,6.4
"'PE', 'DE', 'NO'",1,7.5
"'LU', 'US', 'FR'",1,6.9
"'IL', 'MA', 'US', 'BG', 'GB'",1,6.6
"'AR', 'CL'",1,5.8
"'AR', 'ES', 'UY'",1,7.5
"'JP', 'CN'",1,6.6
"'US', 'AU'",4,6.65
"'QA', 'TN', 'FR'",1,0
"'ES', 'MX'",3,5.9
"'PH', 'SG'",1,4.6
"'US', 'AE'",1,6.3
"'DE', 'DK', 'NL', 'GB'",1,5.4
"'NL', 'MX'",1,5.9
"'CA', 'CN'",1,6.6
"'NO', 'SE', 'DK', 'NL'",1,5.9
"'US', 'DE', 'ZA'",1,6.8
"'IS', 'SE', 'BE'",1,6.9
"'DE', 'ES'",2,6.3
"'CN', 'FR', 'TW', 'US'",1,6.2
'KH',1,5.4
"'BE', 'FR', 'IT'",2,6.3
"'DE', 'CH'",1,6.6
"'JP', 'KR', 'FR'",1,0
"'DE', 'NZ', 'GB'",1,5.3
'PE',6,4.9
"'MX', 'US'",9,4.41
"'US', 'DK'",1,6.2
"'PL', 'US'",1,7.9
'KE',3,4.07
'GH',2,4.9
"'IT', 'CH', 'VA', 'FR', 'DE'",1,6.4
"'PE', 'GB', 'US', 'IL', 'IT'",1,6.6
