release_year,type,total_titles
1945,SHOW,1
1976,MOVIE,3
1972,MOVIE,2
1975,MOVIE,2
1967,MOVIE,2
1969,SHOW,1
1979,MOVIE,5
1971,MOVIE,1
1980,MOVIE,3
1961,MOVIE,1
1966,MOVIE,1
1954,MOVIE,2
1958,MOVIE,1
1977,MOVIE,1
1969,MOVIE,1
1963,MOVIE,1
1956,MOVIE,1
1960,MOVIE,1
1972,SHOW,1
1973,MOVIE,1
1974,MOVIE,1
1959,MOVIE,1
1978,MOVIE,1
1989,SHOW,3
1990,MOVIE,7
1987,MOVIE,5
1984,MOVIE,5
1989,MOVIE,9
1983,MOVIE,3
1982,SHOW,1
1984,SHOW,1
1983,SHOW,1
1986,MOVIE,4
1981,MOVIE,2
1981,SHOW,1
1988,MOVIE,6
1987,SHOW,1
1985,MOVIE,1
1982,MOVIE,5
1988,SHOW,1
2000,SHOW,5
1996,MOVIE,5
1997,SHOW,2
1995,MOVIE,8
1997,MOVIE,14
1994,MOVIE,12
2000,MOVIE,6
1999,MOVIE,10
1999,SHOW,3
1998,SHOW,5
1995,SHOW,2
1998,MOVIE,17
1993,SHOW,2
1994,SHOW,4
1992,MOVIE,2
1993,MOVIE,12
1991,MOVIE,11
1992,SHOW,1
1996,SHOW,2
1991,SHOW,2
2008,SHOW,16
2002,SHOW,9
2010,SHOW,19
2005,SHOW,10
2007,MOVIE,38
2004,MOVIE,31
2006,SHOW,13
2009,SHOW,19
2002,MOVIE,13
2003,SHOW,9
2007,SHOW,10
2004,SHOW,7
2003,MOVIE,22
2010,MOVIE,47
2006,MOVIE,32
2005,MOVIE,22
2008,MOVIE,47
2009,MOVIE,40
2001,SHOW,6
2001,MOVIE,14
2011,SHOW,26
2012,MOVIE,76
2012,SHOW,31
2011,MOVIE,60
2013,SHOW,35
2014,SHOW,44
2014,MOVIE,109
2013,MOVIE,100
2015,SHOW,89
2016,SHOW,134
2016,MOVIE,228
2015,MOVIE,134
2018,SHOW,300
2017,SHOW,179
2018,MOVIE,473
2017,MOVIE,384
2019,SHOW,311
2020,SHOW,314
2019,MOVIE,525
2020,MOVIE,500
2022,MOVIE,200
2022,SHOW,171
2021,MOVIE,473
2021,SHOW,314
